model,target,layer,metric,score
Qwen,V1v,language_model-layers-11,CKA,0.11030408528917075
Qwen,V1v,language_model-layers-11,RSA,0.13459734256102243
Qwen,V1v,language_model-layers-16,CKA,0.11645398029693028
Qwen,V1v,language_model-layers-16,RSA,0.1309608674376109
Qwen,V1v,language_model-layers-3,CKA,0.10901063820433812
Qwen,V1v,language_model-layers-3,RSA,0.13920502508003998
Qwen,V1v,language_model-layers-8,CKA,0.10813736227843468
Qwen,V1v,language_model-layers-8,RSA,0.13601046237948206
Qwen,V1v,visual-blocks-10,CKA,0.10296207625240705
Qwen,V1v,visual-blocks-10,RSA,0.1556842833005932
Qwen,V1v,visual-blocks-14,CKA,0.07292725646526073
Qwen,V1v,visual-blocks-14,RSA,0.12220478954613903
Qwen,V1v,visual-blocks-18,CKA,0.08026179616712989
Qwen,V1v,visual-blocks-18,RSA,0.13002203183186478
Qwen,V1v,visual-blocks-2,CKA,0.21147121049295842
Qwen,V1v,visual-blocks-2,RSA,0.1691119993626539
Qwen,V1v,visual-blocks-22,CKA,0.09749030290107456
Qwen,V1v,visual-blocks-22,RSA,0.13367308449573664
Qwen,V1v,visual-blocks-6,CKA,0.2268537712292828
Qwen,V1v,visual-blocks-6,RSA,0.1938871469552452
Qwen,hV4,language_model-layers-11,CKA,0.14402442100053714
Qwen,hV4,language_model-layers-11,RSA,0.17016454468378475
Qwen,hV4,language_model-layers-16,CKA,0.15289058638206837
Qwen,hV4,language_model-layers-16,RSA,0.16825810963844703
Qwen,hV4,language_model-layers-3,CKA,0.14300451334276135
Qwen,hV4,language_model-layers-3,RSA,0.17465599076589713
Qwen,hV4,language_model-layers-8,CKA,0.13866450404344674
Qwen,hV4,language_model-layers-8,RSA,0.16808468997887593
Qwen,hV4,visual-blocks-10,CKA,0.0379598951354673
Qwen,hV4,visual-blocks-10,RSA,0.0685847709333233
Qwen,hV4,visual-blocks-14,CKA,0.03128728700408257
Qwen,hV4,visual-blocks-14,RSA,0.06388114161485975
Qwen,hV4,visual-blocks-18,CKA,0.04240568330701673
Qwen,hV4,visual-blocks-18,RSA,0.08549857764994893
Qwen,hV4,visual-blocks-2,CKA,0.05574553130672438
Qwen,hV4,visual-blocks-2,RSA,0.055324024748561976
Qwen,hV4,visual-blocks-22,CKA,0.07127301537113945
Qwen,hV4,visual-blocks-22,RSA,0.11652927003108528
Qwen,hV4,visual-blocks-6,CKA,0.0752002679599796
Qwen,hV4,visual-blocks-6,RSA,0.0800222982456435
Qwen,ventral,language_model-layers-11,CKA,0.23341514423843757
Qwen,ventral,language_model-layers-11,RSA,0.29767566577948235
Qwen,ventral,language_model-layers-16,CKA,0.23572838451936623
Qwen,ventral,language_model-layers-16,RSA,0.29202341501536516
Qwen,ventral,language_model-layers-3,CKA,0.24355745061282955
Qwen,ventral,language_model-layers-3,RSA,0.30129680497847056
Qwen,ventral,language_model-layers-8,CKA,0.23646556545026154
Qwen,ventral,language_model-layers-8,RSA,0.290372532418534
Qwen,ventral,visual-blocks-10,CKA,0.029809737437107596
Qwen,ventral,visual-blocks-10,RSA,0.06500520225546494
Qwen,ventral,visual-blocks-14,CKA,0.029193800966153424
Qwen,ventral,visual-blocks-14,RSA,0.06928901887919468
