model,target,layer,metric,score
Qwen,IT,language_model-layers-11,CKA,0.1288368820249989
Qwen,IT,language_model-layers-11,RSA,0.12311907930598254
Qwen,IT,language_model-layers-16,CKA,0.11219983364199326
Qwen,IT,language_model-layers-16,RSA,0.11575413405544446
Qwen,IT,language_model-layers-3,CKA,0.1256079880964327
Qwen,IT,language_model-layers-3,RSA,0.12742680778409707
Qwen,IT,language_model-layers-8,CKA,0.12304626819070139
Qwen,IT,language_model-layers-8,RSA,0.12505293083482108
Qwen,IT,visual-blocks-10,CKA,0.004310137859774086
Qwen,IT,visual-blocks-10,RSA,0.07614580413601771
Qwen,IT,visual-blocks-14,CKA,0.006172067435307691
Qwen,IT,visual-blocks-14,RSA,0.07070139550775098
Qwen,IT,visual-blocks-18,CKA,0.019296615700236924
Qwen,IT,visual-blocks-18,RSA,0.08936279975014595
Qwen,IT,visual-blocks-2,CKA,0.050965488065133915
Qwen,IT,visual-blocks-2,RSA,0.10260477478297832
Qwen,IT,visual-blocks-22,CKA,0.049264810295217384
Qwen,IT,visual-blocks-22,RSA,0.1164380507399748
Qwen,IT,visual-blocks-6,CKA,0.06829119678553275
Qwen,IT,visual-blocks-6,RSA,0.12133750641911953
Qwen,V1,language_model-layers-11,CKA,0.04571847610002999
Qwen,V1,language_model-layers-11,RSA,0.04680865428658868
Qwen,V1,language_model-layers-16,CKA,0.049436978618038196
Qwen,V1,language_model-layers-16,RSA,0.04568812447425972
Qwen,V1,language_model-layers-3,CKA,0.04967865326531411
Qwen,V1,language_model-layers-3,RSA,0.047220913584315946
Qwen,V1,language_model-layers-8,CKA,0.05605236211588713
Qwen,V1,language_model-layers-8,RSA,0.055231242059568426
Qwen,V1,visual-blocks-10,CKA,0.03163571218385642
Qwen,V1,visual-blocks-10,RSA,0.0706338164515259
Qwen,V1,visual-blocks-14,CKA,0.016609677648005288
Qwen,V1,visual-blocks-14,RSA,0.04978934815315505
Qwen,V1,visual-blocks-18,CKA,0.020339988551607333
Qwen,V1,visual-blocks-18,RSA,0.05503857060506853
Qwen,V1,visual-blocks-2,CKA,0.15869378231196302
Qwen,V1,visual-blocks-2,RSA,0.12847753400519876
Qwen,V1,visual-blocks-22,CKA,0.027625169107923227
Qwen,V1,visual-blocks-22,RSA,0.05645844705163512
Qwen,V1,visual-blocks-6,CKA,0.14854138903721392
Qwen,V1,visual-blocks-6,RSA,0.12257767187029545
Qwen,V4,language_model-layers-11,CKA,0.10293393738892694
Qwen,V4,language_model-layers-11,RSA,0.09685414398182839
Qwen,V4,language_model-layers-16,CKA,0.09079038671233618
Qwen,V4,language_model-layers-16,RSA,0.10039155726585894
Qwen,V4,language_model-layers-3,CKA,0.10592898869354299
Qwen,V4,language_model-layers-3,RSA,0.09761530478498491
Qwen,V4,language_model-layers-8,CKA,0.10069075199840655
Qwen,V4,language_model-layers-8,RSA,0.09980974994353915
Qwen,V4,visual-blocks-10,CKA,0.009324022927004825
Qwen,V4,visual-blocks-10,RSA,0.04336529508251136
Qwen,V4,visual-blocks-14,CKA,0.006293962378643622
Qwen,V4,visual-blocks-14,RSA,0.038679495384111515
Qwen,V4,visual-blocks-18,CKA,0.013854864233679622
Qwen,V4,visual-blocks-18,RSA,0.05161369223703437
Qwen,V4,visual-blocks-2,CKA,0.0705190154756554
Qwen,V4,visual-blocks-2,RSA,0.06803199342683744
Qwen,V4,visual-blocks-22,CKA,0.0356758262785897
Qwen,V4,visual-blocks-22,RSA,0.0781654014271373
Qwen,V4,visual-blocks-6,CKA,0.08413962338484737
Qwen,V4,visual-blocks-6,RSA,0.0821839792872976
ResNet,IT,layer1-0,CKA,0.09724603646101995
ResNet,IT,layer1-0,RSA,0.19114580346199864
ResNet,IT,layer2-0,CKA,0.12040625175306799
ResNet,IT,layer2-0,RSA,0.21289577311599067
ResNet,IT,layer3-0,CKA,0.1787029181582082
ResNet,IT,layer3-0,RSA,0.2559583468682855
ResNet,IT,layer3-10,CKA,0.21486730633987963
ResNet,IT,layer3-10,RSA,0.2596517266803412
ResNet,IT,layer3-15,CKA,0.2294347478173927
ResNet,IT,layer3-15,RSA,0.2608989196892888
ResNet,IT,layer3-20,CKA,0.24232230315761472
ResNet,IT,layer3-20,RSA,0.2688606631387668
ResNet,IT,layer3-25,CKA,0.2518558959487062
ResNet,IT,layer3-25,RSA,0.27026303611403935
ResNet,IT,layer3-30,CKA,0.2283200939785004
ResNet,IT,layer3-30,RSA,0.25356496541496243
ResNet,IT,layer3-5,CKA,0.20091052298581918
ResNet,IT,layer3-5,RSA,0.2587941707125836
ResNet,IT,layer4-1,CKA,0.21371768514448403
ResNet,IT,layer4-1,RSA,0.24054964397342046
ResNet,V1,layer1-0,CKA,0.341181706277211
ResNet,V1,layer1-0,RSA,0.24489844180606007
ResNet,V1,layer2-0,CKA,0.36197207405725207
ResNet,V1,layer2-0,RSA,0.2595425147154471
ResNet,V1,layer3-0,CKA,0.32847605616192477
ResNet,V1,layer3-0,RSA,0.2289665369654868
ResNet,V1,layer3-10,CKA,0.16624020559633815
ResNet,V1,layer3-10,RSA,0.14092246375656325
ResNet,V1,layer3-15,CKA,0.14001273317428503
ResNet,V1,layer3-15,RSA,0.12022352154217561
ResNet,V1,layer3-20,CKA,0.12980370352677062
ResNet,V1,layer3-20,RSA,0.12047304300502475
ResNet,V1,layer3-25,CKA,0.12452355141550292
ResNet,V1,layer3-25,RSA,0.10914603697435848
ResNet,V1,layer3-30,CKA,0.14077420652409967
ResNet,V1,layer3-30,RSA,0.11361447831146207
ResNet,V1,layer3-5,CKA,0.23265443216496196
ResNet,V1,layer3-5,RSA,0.1879883458318915
ResNet,V1,layer4-1,CKA,0.10518664455648015
ResNet,V1,layer4-1,RSA,0.08857505617914914
ResNet,V4,layer1-0,CKA,0.18074932938118138
ResNet,V4,layer1-0,RSA,0.20182885672192047
ResNet,V4,layer2-0,CKA,0.2193994202685264
ResNet,V4,layer2-0,RSA,0.23290475978129266
ResNet,V4,layer3-0,CKA,0.2809697280652109
ResNet,V4,layer3-0,RSA,0.2757257593615371
ResNet,V4,layer3-10,CKA,0.23226621579701945
ResNet,V4,layer3-10,RSA,0.24434405174902216
ResNet,V4,layer3-15,CKA,0.2059898520342385
ResNet,V4,layer3-15,RSA,0.21756635566524102
ResNet,V4,layer3-20,CKA,0.21416873700134823
ResNet,V4,layer3-20,RSA,0.2251837625363697
ResNet,V4,layer3-25,CKA,0.21044654818501227
ResNet,V4,layer3-25,RSA,0.2106411341219448
ResNet,V4,layer3-30,CKA,0.208726700208723
ResNet,V4,layer3-30,RSA,0.2024761972485362
ResNet,V4,layer3-5,CKA,0.2533799552556299
ResNet,V4,layer3-5,RSA,0.2633971320083051
ResNet,V4,layer4-1,CKA,0.1696587660908838
ResNet,V4,layer4-1,RSA,0.17846328829685099
